YEAR_WEEK,YEAR
201827,2018
201828,2018
201829,2018
201830,2018
201831,2018
201832,2018
201833,2018
201834,2018
201835,2018
201836,2018
201837,2018
201838,2018
201839,2018
201840,2018
201841,2018
201842,2018
201843,2018
201844,2018
201845,2018
201846,2018
201847,2018
201848,2018
201849,2018
201850,2018
201851,2018
201852,2018
201901,2019
201902,2019
201903,2019
201904,2019
201905,2019
201906,2019
201907,2019
201908,2019
201909,2019
201910,2019
201911,2019
201912,2019
201913,2019
201914,2019
201915,2019
201916,2019
201917,2019
201918,2019
201919,2019
201920,2019
201921,2019
201922,2019
201923,2019
201924,2019
201925,2019
201926,2019
201927,2019
201928,2019
201929,2019
201930,2019
201931,2019
201932,2019
201933,2019
201934,2019
201935,2019
201936,2019
201937,2019
201938,2019
201939,2019
201940,2019
201941,2019
201942,2019
201943,2019
201944,2019
201945,2019
201946,2019
201947,2019
201948,2019
201949,2019
201950,2019
201951,2019
201952,2019
202001,2020
202002,2020
202003,2020
202004,2020
202005,2020
202006,2020
202007,2020
202008,2020
202009,2020
202010,2020
202011,2020
202012,2020
202013,2020
202014,2020
202015,2020
202016,2020
202017,2020
202018,2020
202019,2020
202020,2020
202021,2020
202022,2020
202023,2020
202024,2020
202025,2020
202026,2020
202027,2020
202028,2020
202029,2020
202030,2020
202031,2020
202032,2020
202033,2020
202034,2020
202035,2020
202036,2020
202037,2020
202038,2020
202039,2020
202040,2020
202041,2020
202042,2020
202043,2020
202044,2020
202045,2020
202046,2020
202047,2020
202048,2020
202049,2020
202050,2020
202051,2020
202052,2020
202053,2020
202101,2021
202102,2021
202103,2021
202104,2021
202105,2021
202106,2021
202107,2021
202108,2021
202109,2021
202110,2021
202111,2021
202112,2021
202113,2021
202114,2021
202115,2021
202116,2021
202117,2021
202118,2021
202119,2021
202120,2021
202121,2021
202122,2021
202123,2021
202124,2021
202125,2021
202126,2021
